title,Author,genre,language,level,pictures
We Were Liars,E. Lockhart,Liars   Were,English,780,FALSE
Harry Potter Paperback Box Set (Books 1-7),J. K. Rowling,Paperback   Potter,English,456,TRUE
If Animals Kissed Good Night,Ann Whitford Paul,Animals   Kissed,English,237,TRUE
My First Learn to Write Workbook: Practice for Kids with Pen Control   Line Tracing   Letters   and More! (Kids coloring activity books),Crystal Radke,Workbook:   Practice,English,279,TRUE
I Love You to the Moon and Back,Amelia Hepworth,Back   Love,English,102,TRUE
Superheroes Are Everywhere,Kamala Harris,Superheroes   Everywhere,English,165,TRUE
Bronco and Friends: A Party to Remember,Tim Tebow,Remember   Friends:,English,81,TRUE
My First Library : Boxset of 10 Board Books for Kids,Wonder House Books,Library   Boxset,English,86,TRUE
Grumpy Monkey,Suzanne Lang,Monkey   Grumpy,English,162,TRUE
The Very Hungry Caterpillar,Eric Carle,Caterpillar   Hungry,English,0,TRUE
Percy Jackson and the Olympians 5 Book Paperback Boxed Set (new covers w/poster) (Percy Jackson & the Olympians),Rick Riordan,Olympians)   Olympians,English,752,FALSE
The Deep End (Diary of a Wimpy Kid Book 15),Jeff Kinney,(Diary   Wimpy,English,288,TRUE
Cat Kid Comic Club: From the Creator of Dog Man,Dav Pilkey,Creator   Comic,English,98,TRUE
The Ickabog,J K Rowling,Ickabog   The,English,432,TRUE
Magic Tree House Boxed Set   Books 1-4: Dinosaurs Before Dark   The Knight at Dawn   Mummies in the Morning   and Pirates Past Noon,Mary Pope Osborne,Dinosaurs   Morning  ,English,336,TRUE
The Dark Secret (Wings of Fire Graphic Novel #4): A Graphix Book (4),Tui T. Sutherland,Graphix   Graphic,English,384,TRUE
School Zone - Big Preschool Workbook - Ages 3 to 5   Colors   Shapes   Numbers 1-10   Early Math   Alphabet   Pre-Writing   Phonics   Following Directions   and More (School Zone Big Workbook Series),School Zone,Pre-Writing     Directions  ,English,0,TRUE
Paint by Sticker Kids: Zoo Animals: Create 10 Pictures One Sticker at a Time!,Workman Publishing,Pictures   Animals:,English,215,TRUE
First Little Readers Parent Pack: Guided Reading Level A: 25 Irresistible Books That Are Just the Right Level for Beginning Readers,Deborah Schecter,Irresistible   Beginning,English,36,TRUE
Bob Books   Set 1: Beginning Readers,Bobby Lynn Maslen,Beginning   Readers,English,60,TRUE
Brown Bear   Brown Bear   What Do You See?,Bill Martin Jr.,Bear     Brown,English,172,TRUE
Of Thee I Sing: A Letter to My Daughters,Barack Obama,Daughters   Letter,English,116,TRUE
Dog Man: Grime and Punishment: From the Creator of Captain Underpants (Dog Man #9) (9),Dav Pilkey,Punishment:   Underpants,English,651,FALSE
Kamala and Maya’s Big Idea,Meena Harris,Maya’s   Kamala,English,184,TRUE
